"","source","target","mor"
"1","ESR1","MAPK8",1
"2","JUN","MAPK8",1
"3","NR1I3","CYP2B6",1
"4","CEBPG","IVL",1
"5","MAFK","HBB",1
"6","NFE2L3","HBB",1
"7","TP53","ACTA1",1
"8","TP53","BCL2",-1
"9","PHOX2A","DBH",1
"10","STAT4","IL12B",1
"11","STAT4","IFNA1",1
"12","STAT4","IRF1",1
"13","IRF1","IRF1",1
"14","ATF2","IL6",1
"15","WT1","ODC1",1
"16","NR2C2","CCND1",1
"17","IRF3","IFNA1",1
"18","TFAP2A","CCL13",1
"19","FOS","FOS",-1
"20","HNF1A","IGF1",1
"21","STAT5A","IGF1",1
"22","STAT5A","IL3",1
"23","ETS1","TIMP1",1
"24","ETV4","TIMP1",1
"25","CEBPB","ADRA1D",1
"26","ARNT","CYP1B1",1
"27","AHR","CYP1B1",1
"28","TP53","CCNB1",-1
"29","PAX6","L1CAM",1
"30","CARF","CREBBP",1
"31","STAT5A","CCND1",1
"32","CEBPB","VLDLR",1
"33","NFYA","VLDLR",1
"34","CEBPG","VLDLR",1
"35","TP53","MDM2",1
"36","ZNF148","CDKN1A",1
"37","NFIC","CREBBP",1
"38","NFIC","SRC",1
"39","NFIC","GAL",1
"40","NFIC","NFIC",1
"41","RARB","MMP11",1
"42","RBPJ","MYOD1",-1
"43","RBPJ","HES1",1
"44","HES1","HES1",1
"45","ATF2","CCND1",1
"46","GATA6","GATA4",1
"47","JUN","CCND1",1
"48","FOS","MAPK14",1
"49","GATA4","INHA",1
"50","GATA4","GATA4",1
"51","GATA4","GATA6",1
"52","E2F3","RBL1",1
"53","NFATC2","IL4",1
"54","RXRG","SFTPB",1
"55","RARA","SFTPB",1
"56","HLF","F8",1
"57","HNF4A","GUCY2C",1
"58","PPARG","SERPINE2",1
"59","JUN","CDKN1A",1
"60","TP53","JUN",1
"61","JUN","TP53",-1
"62","TP53","TP53",1
"63","STAT3","PRF1",1
"64","DBP","JTB",1
"65","HLF","JTB",1
"66","PPARG","SERPINE1",-1
"67","MAX","PDLIM7",-1
"68","USF2","PDLIM7",1
"69","IRF1","SAMHD1",1
"70","IRF2","SAMHD1",1
"71","IRF1","IFNG",1
